Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Big Day,2006,16+,6.4,34,"Comedy,Romance","Follows a very special day in a young couple's life, their wedding day... but tells the stories you don't see on the wedding video.Big Day featuring Stephnie Weir and Josh Cooke has one or more episodes free on Sony Crackle, and free on Plex. It's a comedy and romance show with 13 episodes over 1 season. Big Day is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (317 votes) and was met with mixed reviews by critics.",1 Season,Free Services
Bloodlands,2014,N/A,6.5,34,"Crime,Documentary","A majestic mountain range, a quiet lake, and an expansive desert are perfect spots for a peaceful escape, but death is no stranger in these parts. Investigation Discovery's newest series BLOODLANDS reveals the dark tales tied to the most unknowing locations. Each episode tells the chilling story of one murder-mystery linked to a deadly place where evil lurks in the shadows. BLOODLANDS premieres Monday, August 4 at 9/8c only on Investigation Discovery.Bloodlands has one or more episodes streaming via tv everywhere with Investigation Discovery, streaming with subscription on True Crime Files (Via Prime Video), available for purchase on iTunes, and 4 others. It's a crime and documentary show with 6 episodes over 1 season. Bloodlands is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.5 (108 votes).",1 Season,
The Platinum Life,2017,N/A,6.0,34,"Reality,2017","The experiences of some of the fierce and devoted women behind music's biggest names as they navigate the ups and downs of their relationships, friendships and high-class lifestyles.The Platinum Life featuring Asiah Collins and Shantel Jackson has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a reality show with 8 episodes over 1 season. The Platinum Life is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.0 (25 votes).",1Season,
Brew Masters,2010,N/A,8.1,34,"Food,Reality","Brew Masters is a television series that was run weekly on Discovery Channel starting on Sunday, November 21, 2010. The show focused on Sam Calagione, the founder and head of Dogfish Head Brewery, and his staff as they searched the world for new, ancient, and imaginative inspirations for beers.Brew Masters has one or more episodes streaming via tv everywhere with Discovery GO, streaming with subscription on fuboTV, available for purchase on iTunes, and 1 other. It's a documentary and food show with 6 episodes over 1 season. Brew Masters is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (181 votes).",1Season,fuboTV
Search for the Lost Giants,2014,7+,6.2,34,"Documentary,Reality","Brothers Jim and Bill Vieira search for giant skeletons after researching tales of giants being sighted along with old accounts of giant bones being uncovered across the country.Search for the Lost Giants featuring Bill Vieira and Jim Vieira has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a documentary and history show with 6 episodes over 1 season. Search for the Lost Giants is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.2 (298 votes).",1 Season,
RocketJump: The Show,2015,16+,7.1,34,"Action & Adventure,Comedy","A behind-the-scenes look at the RocketJump production team (Video Game High School) as they create phenomenal action-comedy short films. Each half-hour episode of the series will chronicle the filmmaking behind RocketJump’s newest short and will include an exclusive look at the short film itself.RocketJump: The Show has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 8 episodes over 1 season. RocketJump: The Show is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (150 votes).",1Season,Hulu
Time Traveling with Brian Unger,2015,N/A,7.5,34,"Reality,Travel","Travel Channel takes viewers on an unexpected journey back in time with the help of a witty tour guide and eye-popping CGI graphics. In the new half-hour original series, ""Time Traveling with Brian Unger,"" premiering with back-to-back episodes on Monday, April 20 at 10:00 p.m. & 10:30 p.m. ET/PT, audiences will be visually transported to America's past and entertained by amazing tales of yesteryear - typically not found in guidebooks. Hosted by Unger, an experienced producer, commentator, actor and comedian with credits including ""It's Always Sunny in Philadelphia,"" ""The Daily Show"" and more, the series looks at iconic landmarks, personalities and events in a fresh, new way, revealing historical details many of us never knew occurred.Time Traveling with Brian Unger has one or more episodes free on PlutoTV, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a documentary and reality show with 18 episodes over 1 season. Time Traveling with Brian Unger is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (28 votes).",1Season,Free Services
The Yard,2011,N/A,6.9,34,"Comedy,2011","The Yard is a Canadian mockumentary comedy series that originally aired on HBO Canada in 2011. Set in a schoolyard, the series depicts the interactions of two rival gangs of elementary school students, with the plot of each episode serving as a parody of an adult-oriented crime drama series such as The Sopranos or The Wire. In the United States it is available for online streaming exclusively on Hulu in both ""censored"" and ""uncensored"" versions and for 1080p HD digital download on the iTunes Store.The Yard featuring Olivia Scriven has one or more episodes available for purchase on Prime Video. It's a comedy show with 6 episodes over 1 season. The Yard is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.9 (444 votes).",1Season,
Ghost Lab,2009,7+,5.2,34,"Documentary,Mystery","Ghost Lab is a weekly American paranormal television series that premiered on October 6, 2009, on the Discovery Channel. Produced by Paper Route Productions and Go Go Luckey Entertainment, the program is narrated by Mike Rowe. It follows ghost-hunting brothers Brad and Barry Klinge, who founded Everyday Paranormal in October 2007.Everyday Paranormal is a paranormal investigation team whose stated mission is to ""visit the most haunted places in America, find evidence, and test new theories to probe the existence of the afterlife"" using a fringe-scientific approach.In addition to Brad and Barry, the team included members Steve Harris, Hector Cisneros, and Katie Burr. Other members included Jason Worden, Ashlee Lehman, and Steve Hock. Ghost Lab remains the name of EP's mobile command center.On October 14, 2009, Brad and Barry Klinge were interviewed on The Pat & Brian Show about the origins of Everyday Paranormal, current investigations, and equipment use. On October 30, 2009, Larry King interviewed the brothers via satellite on CNN's Larry King Live.Ghost Lab has one or more episodes streaming via tv everywhere with Discovery GO, streaming with subscription on Destination Unknown (Via Prime Video), and available for purchase on Prime Video. It's a documentary and mystery show with 28 episodes over 2 seasons. Ghost Lab is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.2 (353 votes).",2Seasons,
The Return of Shelby the Swamp Man,2018,N/A,7.6,34,"Reality,2018","A series following the real-life adventures of Shelby Stanga of ""Ax Men.""The Return of Shelby the Swamp Man has one or more episodes free on PlutoTV, streaming via tv everywhere with The History Channel (Via Cable/Satellite Provider), available for purchase on Google Play, and 2 others. It's a reality show with 5 episodes over 1 season. The Return of Shelby the Swamp Man is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (9 votes).",1Season,"Free Services,History"
Egg Birds,2014,N/A,N/A,34,"2014,Hulu",In this uproarious dress-up series the Egg Birds have to guess what their friend Wally dressed up.Egg Birds has one or more episodes streaming with subscription on Hulu. It has 20 episodes over 4 seasons. Egg Birds is still airing with no announced date for the next episode or season.,4Seasons,Hulu
Iconoclasts,2005,N/A,7.4,34,"Documentary,2005","Iconoclasts is a Sundance Channel show. Each episode pairs two ""creative visionaries"" who discuss their lives, influences, and art, most of whom are longtime friends with the other person featured in the episode. The series premiered on November 17, 2005, and has had six six-episode seasons.Iconoclasts has one or more episodes streaming with subscription on Hoopla, available for purchase on iTunes, and available for purchase on Prime Video. It's a documentary show with 36 episodes over 6 seasons. Iconoclasts is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (197 votes).",6Seasons,Hoopla
Jungle Beat,2014,all,7.4,34,"Animation,Family","Jungle Beat is a fun, family friendly series of CGI animated, self-contained, dialogue-free, 5 minute episodes focusing on different animals and the bizarre situations they encounter in nature. From the Firefly who’s afraid of the dark, to the giraffe with a stiff neck, this wholesome series aims to entertain and delight young children, and their families! Remember when kids were kids and playing meant grass burns, bare feet and muddy faces? That is the world Jungle Beat exists in. It is innocent, positive and uplifting. It makes the world feel like a better place. It encourages community, acceptance and celebrates the individual.Jungle Beat has one or more episodes streaming with subscription on Prime Video. It's an animation and children show with 13 episodes over 1 season. Jungle Beat is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (44 votes).",1 Season,Prime Video
WAGS,2015,16+,4.5,34,"Reality,Romance","E! takes a wild ride into the world of some of today's hottest professional athletes from the perspective of the women who stand by their side, otherwise known as WAGS (Wives and Girlfriends of Sports Stars). These WAGS are playing the most competitive sport out there: getting and keeping that pro-athlete man. As part of an elite, exclusive group, the WAGS are close friends who are bound together by a strict hierarchy, unspoken rules and plenty of drama - and those who have the coveted ring and a husband with a contract are the ones with all the power! As in sports, this game is all about getting that ""W"" and this pack knows how to play the field...WAGS featuring Sasha Gates has one or more episodes streaming with subscription on fuboTV, free on Peacock, available for purchase on iTunes, and 4 others. It's a reality and romance show with 28 episodes over 3 seasons. WAGS is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 4.5 (227 votes).",3Seasons,"Free Services,fuboTV"
My Five Wives,2013,N/A,4.1,34,"Documentary,Reality","TLC continues to show that families come in all different shapes and sizes with the return of MY FIVE WIVES, a new nine-part series following Brady Williams, his five wives and their ...My Five Wives has one or more episodes streaming via tv everywhere with TLC GO, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary and reality show with 22 episodes over 2 seasons. My Five Wives is still airing with no announced date for the next episode or season. It has a low IMDb audience rating of 4.1 (232 votes).",2 Seasons,TLC
True: Terrific Tales,2020,N/A,4.6,34,"Animation,Family","Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales.True: Terrific Tales featuring Michela Luci and Eric Peterson has one or more episodes streaming with subscription on Netflix. It's an animation and children show with 8 episodes over 1 season. True: Terrific Tales is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 4.6 (7 votes).",1Season,Netflix
Bajillionaires,2019,all,7.0,34,"Comedy,Children","Max Graham and his group of friends run a start-up out of his parent's garage.Bajillionaires featuring Alec Dahmer and Ricardo Ortiz has one or more episodes streaming with subscription on fuboTV, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a children and comedy show with 20 episodes over 1 season. Bajillionaires is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.0 (32 votes).",1Season,fuboTV
Nerds and Monsters,2013,N/A,5.3,34,"Children,Animation","Nerds and Monsters is an animated comedy that tosses a group of nerdy kids on a fantastic uncharted island. The tween castaways must use nothing but their smarts to survive the relentless attacks by the island's inhabitants - a tribe of hideous monsters that are mistakenly threatened by their human invaders. Lucky for the nerds, these dim-witted monsters don't have any smarts!Nerds and Monsters has one or more episodes streaming with subscription on Hulu, free on Tubi, available for purchase on iTunes, and 1 other. It's an action & adventure and animation show with 118 episodes over 6 seasons. Nerds and Monsters is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.3 (55 votes).",6Seasons,"Free Services,Hulu"
Hidden Killers,2013,N/A,7.9,34,"Documentary,2013","Suzannah Lipscomb reveals the killers that lurked in every room of the home.Hidden Killers featuring Suzannah Lipscomb has one or more episodes free on Tubi, and streaming with subscription on XiveTV (Via Prime Video). It's a documentary show with 7 episodes over 2 seasons. Hidden Killers is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (103 votes).",2Seasons,Free Services
Kiss of Death,2017,16+,N/A,34,"Crime,Reality","Kiss of Death tells the true, heart-stopping stories of love gone wrong. Firsthand accounts examine how initial feelings of excitement, desire and passion escalate into the most unthinkable acts of crime. Suspicious signs, strange behaviors and red flags reveal that things are not as rosy as they seem. These ominous signs and clues are pieced together as each hour builds to a final, shocking, deadly act.Kiss of Death has one or more episodes streaming via tv everywhere with Investigation Discovery, streaming with subscription on True Crime Files (Via Prime Video), available for purchase on iTunes, and 4 others. It's a crime and mystery show with 6 episodes over 1 season. Kiss of Death is still airing with no announced date for the next episode or season.",1Season,
Raising Tourette's,2018,N/A,8.1,34,"Documentary,Reality","Follows five families livings with adolescents with Tourette Syndrome.Raising Tourette's has one or more episodes streaming via tv everywhere with A&E (Via Cable/Satellite Provider), available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary and reality show with 6 episodes over 1 season. Raising Tourette's is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (43 votes).",1Season,A&E
Mr. Robinson,2015,N/A,5.1,34,"Comedy,2015","Centers on a rough-edged musician Craig, who's adjusting to his new life as a music teacher in a big-city middle school where he encounters teacher politics and the temptations of single moms.Mr. Robinson featuring Craig Robinson and Benjamin Koldyke has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a comedy show with 6 episodes over 1 season. Mr. Robinson is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.1 (925 votes) and was disliked by critics.",1Season,
Evil Encounters,2017,N/A,7.5,34,"Documentary,Horror",Terrifyingly encounters along in addition to paranormal bustle told by the people who witnessed the deeds. Recreated by actors.Evil Encounters has one or more episodes streaming with subscription on fuboTV. It's a documentary and horror show with 18 episodes over 2 seasons. Evil Encounters is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (53 votes).,2Seasons,fuboTV
Alaska's Grizzly Gauntlet,2018,N/A,7.4,34,"Documentary,2018",Survival expert Les Stroud explores the world of Alaska's most formidable wildlife and uncovers the secrets to their survival in America's final frontier.Alaska's Grizzly Gauntlet featuring Les Stroud has one or more episodes streaming with subscription on Disney+. It's a documentary show with 5 episodes over 1 season. Alaska's Grizzly Gauntlet is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (26 votes).,1Season,Disney+
The Crowned Goddess,2015,7+,7.3,34,"Drama,Romance",The story is based on Angie Sanclemente Valencia's involvement in the transportation of cocaine from Argentina to EuropeThe Crowned Goddess has one or more episodes streaming with subscription on Hulu. It's a drama and romance show with 31 episodes over 1 season. The Crowned Goddess is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (18 votes).,1 Season,Hulu
Haunted Gingerbread Showdown,2018,N/A,N/A,34,"Food,2018","Sandra Lee pits nine of the best gingerbread artists in the country against each other to create spooky gingerbread masterpieces that embody the season.Haunted Gingerbread Showdown featuring Clinton Kelly and Jamika Pessoa has one or more episodes streaming via tv everywhere with Food Network, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a food show with 8 episodes over 2 seasons. Haunted Gingerbread Showdown is still airing with no announced date for the next episode or season.",2Seasons,Food Network
Glass Fleet,2006,7+,6.7,34,"Animation,Action & Adventure","Glass Fleet, subtitled La Legende du Vent de l'Univers, is an anime TV series, co-animated by Satelight and Gonzo and produced by Sony Pictures Entertainment, Asahi Broadcasting Corporation, GDH and Sotsu Agency, which first aired in Japan on Asahi Broadcasting Corporation from April 4, 2006 and September 21, 2006. It spanned a total of 26 episodes, with an alternate episode, 17 also being released. The series was also later broadcast by the anime TV network Animax across its English-language networks in Southeast Asia and South Asia as well as its other networks worldwide.The series, directed by Minoru Ōhara and written by Shōji Yonemura, features original character designs from Okama. The mechanical designs for the series are provided by Shōji Kawamori and Kazutaka Miyatake with Yutaka Izubuchi being the concept advisor.Glass Fleet has one or more episodes streaming with subscription on Funimation, and available for purchase on Google Play. It's an action & adventure and animation show with 26 episodes over 1 season. Glass Fleet is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (63 votes).",1 Season,Funimation
My MVP Valentine,2002,N/A,6.4,34,"Drama,Romance","My MVP Valentine is a 2002 Taiwanese drama based loosely on 2 Japanese manga series: Slam Dunk and MVP wa Yuzurenai!. Starring Chinese Taipei basketball star Johnny Yen, it enjoyed huge success throughout Greater China and Southeast Asia. As a result, it is noted for skyrocketing Angela Chang, Chen Chiao-En and 5566 to fame.My MVP Valentine featuring Angela Zhang and Tony Sun has one or more episodes streaming with subscription on Netflix. It's a drama and romance show with 18 episodes over 1 season. My MVP Valentine is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (18 votes).",1Season,Netflix
Gigantic,2010,N/A,5.0,34,"Drama,Family","""Gigantic"" revolves around 17-year-old Anna Moore (Grace Gummer) and her younger brother Walt (Tony Oller), teens who live the lives of Hollywood ""it"" kids as the children of famous movie star couple John and Jennifer Moore. Anna and Walt have recently returned to Los Angeles after living in Australia for the past two years while their parents were shooting a movie. The series takes a fictional look at the complicated lives of children of Hollywood celebrities, giving an insider view of the glitz, glamour, and A-list parties of Tinseltown. It exposes the life behind the tabloids and gossip blogs, while exploring the difficulties of growing up with superstar parents.Gigantic has one or more episodes available for purchase on iTunes, and available for purchase on Prime Video. It's a comedy and drama show with 18 episodes over 1 season. Gigantic is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.0 (256 votes).",1Season,
Who Killed Tupac?,2017,16+,5.6,34,"Biography,Documentary","A six-hour limited series focusing on the investigation of the death of prolific and influential rapper and actor, Tupac Shakur. Each installment includes aspects from the legendary artist's life as well as follow famed civil rights attorney Benjamin Crump as he conducts a full-scale, intensive investigation into key theories behind his murder.Who Killed Tupac? featuring Tupac Shakur has one or more episodes free on PlutoTV, streaming via tv everywhere with A&E (Via Cable/Satellite Provider), free on Tubi, and 5 others. It's a biography and crime show with 8 episodes over 1 season. Who Killed Tupac? is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.6 (131 votes).",1Season,"Free Services,A&E"
This Week at The Comedy Cellar,2018,16+,6.7,34,"Comedy,2018","Comedians of all stripes, from rising stars to established legends, pop into New York's legendary Comedy Cellar every week for a topical set.This Week at The Comedy Cellar has one or more episodes streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), free on Comedy Central, streaming with subscription on Comedy Central Now (Via Prime Video), and 5 others. It's a comedy show with 20 episodes over 3 seasons. This Week at The Comedy Cellar is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (67 votes).",3Seasons,"Free Services,Comedy Central,fuboTV"
$100 Makeover,2010,N/A,N/A,34,"Reality,2010","Interior designer Leslie Segrete, master carpenter Rib Hillis, and professional organizer Robbie Laughlin show you how to repurpose, reuse and most importantly, reimagine your own spaces all for only $100 a room.$100 Makeover featuring Leslie Segrete and Rib Hillis has one or more episodes free on PlutoTV. It's a reality show with 10 episodes over 1 season. $100 Makeover is no longer running and has no plans to air new episodes or seasons.",1Season,Free Services
Pacific Warriors,2015,N/A,7.2,34,"Reality,2015","Adjacent to pristine waters off Hawaii are steep underwater cliffs, resulting in some of the world's best deep-sea fishing. For years locals thrived here using nothing more than small, handmade canoes, fishing poles and their hands to catch monster fish. Reinventing this ancient art is a new breed of men and women who risk their lives aboard sea kayaks to land lucrative, 100-plus pound species like marlin and tuna. ``Pacific Warriors'' follows brave adventurers who bring their own techniques to the craft as they take on rough waters, bloodthirsty predators and one another to reel in their trophies.Pacific Warriors has one or more episodes streaming via tv everywhere with Discovery GO, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a reality show with 6 episodes over 1 season. Pacific Warriors is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (32 votes).",1Season,
Candy Online,2019,N/A,5.6,34,"Drama,Family","When a wardrobe malfunction goes viral, a bubbly live streamer struggles to navigate her classmates' cruel judgment and the small town she lives in.Candy Online featuring Wan-Ru Zhan and Iain Lu has one or more episodes streaming with subscription on Netflix. It's a drama and family show with 13 episodes over 1 season. Candy Online is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.6 (11 votes).",1Season,Netflix
Building Wild,2014,N/A,7.2,34,"Home & Garden,Reality","National Geographic Channel goes off the map to kick off its first do-it-yourself series, Building Wild. Paulie, as he is known, has partnered with woodsman and master fabricator Pat ""Tuffy"" Bakaitis on a cabin design and construction business called Cabin Kings. These ""Cabin Kings"" are construction's odd couple: Paulie is a city boy at heart and Tuffy is a gruff, logical woodsman who has never heard of Starbucks. But together, this duo creates unbelievable wilderness getaways, transforming discarded materials into fabulous contraptions and overcoming outrageous building challenges along the way.Building Wild featuring Patrick Tuffy Bakaitis has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a home & garden and reality show with 20 episodes over 2 seasons. Building Wild is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (144 votes).",2Seasons,
My Knight and Me,2016,all,4.4,34,"Animation,Action & Adventure","My Knight and Me is a medieval comedy led by Jimmy the Squire, his father Henri the Knight and Cat, the rebel princess who stages their incredibly zany adventures against evil witches, dragons and giant cyclopes. With Henri's unique enthusiasm, Cat's gumption, and Jimmy's faultless reasoning, our heroes are setting out to make the Dark Ages a little less dark and a whole lot more fun!My Knight and Me has one or more episodes streaming with subscription on Hulu. It's an action & adventure and animation show with 52 episodes over 1 season. My Knight and Me is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 4.4 (307 votes).",1Season,Hulu
The Aviators,2010,all,8.5,34,"Documentary,2010","The Aviators is an award-winning weekly documentary-lifestyle-science TV series featuring interesting people, the latest aircraft, current technology and fly-in destinations. The show's site describes subject matter as follows: ""We will take you behind the scenes to show you how airline pilots train, how planes are built, and how ATC works. We will profile aviation businesses and showcase aviation products. We will provide safety tips for private and recreational pilots and career tips for professional pilots."" The Aviators premiered on the Global Television Network on Saturday, September 4, 2010. It could also be seen on CHEK-TV in Canada and is distributed to all 356 Public Broadcasting Stations in the United States for broadcast in numerous markets starting in September 2010. On September 1, 2010 the producers announced that a deal had been signed with Discovery Channel Asia that saw the series broadcast overseas in the spring of 2011.In the first six months after its premiere, the show aired almost 8,000 times across North America - an average of over 40 times a day. The Aviators launched on Hulu in February 2011 and was viewed over 32,000 times in just two weeks. In March 2011 producers announced some changes for season two including the addition of country music singer George Canyon to the cast as a guest host for the season. The current season's premiere date is September 16, 2013. Production for a fifth season has begun, and is planned to air in North America in September 2014.The Aviators featuring Anthony Nalli has one or more episodes free on VUDU, streaming with subscription on Hoopla, available for purchase on iTunes, and 4 others. It's a documentary show with 81 episodes over 7 seasons. The Aviators is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (95 votes).",7Seasons,"Free Services,Hoopla"
My Best Ex-Boyfriend,2015,N/A,7.0,34,"Drama,2015","Parents force the breakup of two couples, but what happens to their lingering feelings years later? Li Tang (Jerry Yan) and Fu Fang Si (Maggie Jiang) were high school sweethearts, but the ...My Best Ex-Boyfriend has one or more episodes streaming with subscription on Netflix. It's a drama show with 14 episodes over 1 season. My Best Ex-Boyfriend is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.0 (10 votes).",1Season,Netflix
Mysteries & Scandals,2018,N/A,6.7,34,"Crime,Documentary","A true crime series investigating Hollywood's most intriguing criminals, murders and cases of corruption, exploring infamous headlines that captured the nation's attention using archival footage, new interviews and stylized depictions of past events.Mysteries & Scandals has one or more episodes streaming via tv everywhere with Oxygen (Via Cable/Satellite Provider), available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and documentary show with 13 episodes over 1 season. Mysteries & Scandals is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (30 votes).",1Season,
America's Worst Tattoos,2012,16+,5.6,34,"Documentary,2012","""AMERICA'S WORST TATTOOS""   highlights the unfortunate tattoo's back story, the process of covering it up and the big reveal.America's Worst Tattoos has one or more episodes streaming via tv everywhere with TLC GO, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary show with 20 episodes over 2 seasons. America's Worst Tattoos is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.6 (116 votes).",2 Seasons,TLC
Cajun Justice,2012,N/A,6.4,34,"Reality,2012","Cajun Justice is an American reality television series on A&E. The series debuted on June 7, 2012. Despite season one averaging 1.5 million viewers an episode, the new head sheriff, Jerry Larpenter, doesn't agree with the way the series represents his city. Mark Kadin, executive producer, attempted to keep the show within the city, and A&E agreed to increase the payment from $1,500 an episode to $10,000 an episode. Larpenter declined the offer and Kadin is in the process of relocating the successful series.The Louisiana Auditor's Office reviewed former Sheriff Vernon Bourgeois's spending in relation to 'Cajun Justice' in January 2013.Cajun Justice has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hoopla, and available for purchase on iTunes. It's a reality show with 22 episodes over 1 season. Cajun Justice is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (144 votes).",1Season,"Prime Video,Hoopla"
Seiyu's Life!,2015,16+,5.9,34,"Animation,Anime","The series is centered on three friends who are all rookie voice actresses; Futaba Ichinose, Ichigo Moesaki and Rin Kohana. As the girls go through their individual troubles of working in voice acting, they end up hosting a web radio show together and form the unit, Earphones.Seiyu's Life! has one or more episodes streaming with subscription on Funimation, available for purchase on iTunes, and available for purchase on Prime Video. It's an animation and anime show with 13 episodes over 1 season. Seiyu's Life! is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.9 (16 votes).",1Season,Funimation
The Weapon Hunter,2015,16+,7.1,34,"Reality,2015","History buff and restoration expert Paul Shull goes on a quest to get his hands on some of the world's rarest and most remarkable pieces of military history in the new Smithsonian Channel original series, THE WEAPON HUNTER. The six episode series chronicles Shull's adventures as he finds, fixes, and fires the antique weapons that have been used throughout history. Shull enlists the aid of a loosely knit network of history-obsessed collectors. They've spent decades - and small fortunes - amassing surprising and extraordinary military collections that rival those found anywhere. Now, they're opening their doors to their secret world to allow Shull the chance to come face to face with history.The Weapon Hunter has one or more episodes streaming on CBS All Access, streaming with subscription on Smithsonian Earth (Via Prime Video), streaming with subscription on fuboTV, and 5 others. It's a reality show with 12 episodes over 2 seasons. The Weapon Hunter is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (92 votes).",2Seasons,"CBS All Access,fuboTV"
Queens of Drama,2015,N/A,6.5,34,"Documentary,Drama","Follows a group of former daytime and primetime actresses working together in front of and behind the cameras to develop, pitch and produce a new series hoping to land a pilot deal by the end of the season.Queens of Drama featuring Joan Collins and Lindsay Hartley has one or more episodes free on Tubi, available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's a documentary and drama show with 10 episodes over 1 season. Queens of Drama is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.5 (39 votes).",1Season,Free Services
Street Science,2017,7+,6.0,34,"Documentary,Reality","Kevin Delaney leaves his lab behind to hit the streets for experiments that are so unusual, offbeat, and so unexpected they will blow your mind.Street Science featuring Kevin Delaney has one or more episodes streaming via tv everywhere with Science GO, streaming via tv everywhere with TLC GO, streaming via tv everywhere with Discovery GO, and 6 others. It's a documentary and reality show with 24 episodes over 2 seasons. Street Science is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.0 (57 votes).",2Seasons,"Science,TLC,fuboTV"
Thicker Than Water,2013,N/A,5.0,34,"Reality,Documentary","""Thicker Than Water"" follows Ben and Jewel Tankard with their blended family as they live, love and laugh through the perils and pleasures of life. Self-dubbed the ""Black Brady Bunch,"" this southern family integrates their strong religious conviction with their penchant for the finer things in life. Under the watchful eye of the patriarch and matriarch, the Tankard children, although grown-up, still live at home and must abide by Ben and Jewel's rules. With the belief that ""God wants us all to be millionaires,"" the Tankards aim to be the best and brightest in everything they do. Along with their drive, comes a healthy dose of rivalry proving the adage, ""You can choose your friends but you can't choose your family"" especially true.Thicker Than Water has one or more episodes streaming with subscription on MHz Choice (Via Prime Video), available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary and reality show with 29 episodes over 3 seasons. Thicker Than Water is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 5.0 (41 votes).",3 Seasons,
Nature's Deadliest,2002,N/A,7.9,34,"Documentary,2002","This show explains about animals and methods to kill peopleNature's Deadliest has one or more episodes streaming via tv everywhere with Discovery GO, available for purchase on iTunes, and available for purchase on Prime Video. It's a documentary show with 8 episodes over 1 season. Nature's Deadliest is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (19 votes).",1Season,
